# TIME,HUMIDITY [-],TEMPERATURE [°C]
1738141200.000,41.143,11.862
1738142100.000,24.193,6.621
1738143000.000,29.732,24.968
1738143900.000,8.609,0.000
1738144800.000,0.000,17.642
1738145700.000,0.000,22.020
1738146600.000,26.934,2.342
1738147500.000,33.669,0.796
1738148400.000,21.157,10.148
1738149300.000,13.258,24.440
1738150200.000,29.317,36.962
1738151100.000,27.860,13.305
1738152000.000,14.134,1.719
1738152900.000,21.634,10.988
1738153800.000,15.273,14.732
1738154700.000,18.960,15.821
1738155600.000,14.190,26.867
1738156500.000,24.655,13.303
1738157400.000,16.036,10.245
1738158300.000,27.158,9.340
1738159200.000,14.227,0.929
1738160100.000,32.311,0.000
1738161000.000,15.055,15.521
1738161900.000,37.284,0.194
1738162800.000,31.540,9.873
1738163700.000,35.453,23.810
1738164600.000,19.679,3.826
1738165500.000,37.138,15.764
1738166400.000,9.436,13.556
1738167300.000,18.997,17.960
1738168200.000,15.548,6.767
1738169100.000,13.161,10.786
1738170000.000,0.000,1.056
1738170900.000,24.447,3.152
1738171800.000,24.804,0.000
1738172700.000,0.000,22.236
1738173600.000,22.619,17.418
1738174500.000,23.222,20.488
1738175400.000,21.515,13.419
1738176300.000,9.000,5.069
1738177200.000,11.022,15.525
1738178100.000,11.181,36.851
1738179000.000,19.941,0.093
1738179900.000,8.781,27.315
1738180800.000,33.426,5.364
1738181700.000,30.451,0.000
1738182600.000,24.951,5.219
1738183500.000,23.674,0.000
1738184400.000,26.512,0.000
1738185300.000,22.090,0.000
1738186200.000,14.368,20.243
1738187100.000,23.559,17.433
1738188000.000,29.240,11.467
1738188900.000,13.499,17.968
1738189800.000,9.949,25.713
1738190700.000,15.443,11.955
1738191600.000,16.647,5.748
1738192500.000,16.153,17.568
1738193400.000,24.042,18.145
1738194300.000,16.624,19.539
1738195200.000,32.518,2.141
1738196100.000,24.596,7.860
1738197000.000,15.418,10.248
1738197900.000,19.555,15.588
1738198800.000,0.000,14.168
1738199700.000,17.890,32.468
1738200600.000,29.688,0.000
1738201500.000,13.782,9.727
1738202400.000,26.912,16.761
1738203300.000,13.714,9.709
1738204200.000,38.615,10.611
1738205100.000,28.863,0.000
1738206000.000,27.946,11.028
1738206900.000,14.542,18.225
1738207800.000,16.982,18.755
1738208700.000,30.449,17.401
1738209600.000,43.607,16.943
1738210500.000,31.693,24.768
1738211400.000,23.006,0.000
