# TIME,TEMPERATURE [°C],PF-VALUE [-]
1738141200.000,16.037,16.449
1738142100.000,22.302,4.738
1738143000.000,21.368,0.000
1738143900.000,23.428,27.691
1738144800.000,23.881,0.000
1738145700.000,28.396,0.000
1738146600.000,14.512,10.509
1738147500.000,16.467,24.636
1738148400.000,28.828,6.029
1738149300.000,14.770,18.827
1738150200.000,5.945,0.000
1738151100.000,33.243,8.326
1738152000.000,14.535,0.000
1738152900.000,26.991,7.691
1738153800.000,28.512,19.890
1738154700.000,26.737,16.741
1738155600.000,25.321,11.110
1738156500.000,33.591,9.750
1738157400.000,31.178,12.653
1738158300.000,27.541,1.462
1738159200.000,8.600,0.000
1738160100.000,1.362,0.000
1738161000.000,32.339,10.734
1738161900.000,17.983,12.884
1738162800.000,6.392,2.353
1738163700.000,11.193,0.961
1738164600.000,15.354,20.835
1738165500.000,19.869,13.346
1738166400.000,25.296,9.075
1738167300.000,26.053,0.000
1738168200.000,38.583,4.856
1738169100.000,31.196,7.596
1738170000.000,22.680,23.509
1738170900.000,18.259,10.582
1738171800.000,19.872,33.616
1738172700.000,29.469,6.002
1738173600.000,28.463,13.439
1738174500.000,35.089,21.074
1738175400.000,18.776,0.000
1738176300.000,29.666,7.392
1738177200.000,22.959,12.198
1738178100.000,14.433,22.712
1738179000.000,11.060,36.515
1738179900.000,12.712,9.372
1738180800.000,31.788,3.933
1738181700.000,40.618,5.482
1738182600.000,19.677,22.509
1738183500.000,5.116,0.000
1738184400.000,41.760,5.013
1738185300.000,20.607,19.264
1738186200.000,0.000,0.000
1738187100.000,34.785,8.676
1738188000.000,26.406,16.838
1738188900.000,3.003,8.168
1738189800.000,12.490,12.142
1738190700.000,32.697,16.545
1738191600.000,34.767,16.739
1738192500.000,15.216,2.201
1738193400.000,17.530,17.273
1738194300.000,35.404,15.675
1738195200.000,13.083,34.166
1738196100.000,11.513,4.322
1738197000.000,18.252,0.000
1738197900.000,25.233,0.980
1738198800.000,21.690,0.000
1738199700.000,19.214,0.000
1738200600.000,7.223,8.495
1738201500.000,27.144,23.843
1738202400.000,9.280,9.835
1738203300.000,0.000,16.678
1738204200.000,24.126,2.333
1738205100.000,11.661,14.076
1738206000.000,19.027,0.000
1738206900.000,13.076,6.897
1738207800.000,0.000,20.608
1738208700.000,27.690,10.198
1738209600.000,21.341,9.394
1738210500.000,14.613,36.602
1738211400.000,19.416,23.894
1738212300.000,33.848,3.614
1738213200.000,18.439,27.189
1738214100.000,32.021,19.862
1738215000.000,27.492,11.277
1738215900.000,23.183,10.515
1738216800.000,13.835,0.000
1738217700.000,29.602,15.588
1738218600.000,7.703,20.592
1738219500.000,7.936,0.000
1738220400.000,31.309,1.790
1738221300.000,35.727,0.000
1738222200.000,32.033,19.456
1738223100.000,5.850,21.057
1738224000.000,29.633,0.000
1738224900.000,19.548,16.673
1738225800.000,28.663,17.831
1738226700.000,29.309,14.991
1738227600.000,17.437,7.979
1738228500.000,13.502,16.985
1738229400.000,32.408,9.211
1738230300.000,28.654,6.600
1738231200.000,13.354,21.675
1738232100.000,4.072,11.582
1738233000.000,22.249,21.938
1738233900.000,5.669,0.000
1738234800.000,14.649,15.237
1738235700.000,11.340,25.483
1738236600.000,0.000,20.643
1738237500.000,27.422,7.644
1738238400.000,19.889,24.603
1738239300.000,15.013,9.776
1738240200.000,19.710,0.000
1738241100.000,30.905,26.698
1738242000.000,32.586,0.000
1738242900.000,19.172,15.219
1738243800.000,14.900,4.404
1738244700.000,27.280,1.464
1738245600.000,8.184,0.891
1738246500.000,20.103,3.388
1738247400.000,4.740,0.000
1738248300.000,35.300,0.000
1738249200.000,26.680,21.355
1738250100.000,0.000,18.049
1738251000.000,14.483,10.851
1738251900.000,22.834,21.438
1738252800.000,6.703,12.624
1738253700.000,17.529,27.484
1738254600.000,18.602,8.775
1738255500.000,25.282,0.000
1738256400.000,25.147,0.000
1738257300.000,23.676,31.554
1738258200.000,36.133,11.538
1738259100.000,11.071,0.000
1738260000.000,35.777,27.581
1738260900.000,0.794,23.475
1738261800.000,9.246,18.758
1738262700.000,25.807,4.346
1738263600.000,10.407,20.797
1738264500.000,20.545,25.725
1738265400.000,11.141,13.089
1738266300.000,25.212,12.208
1738267200.000,27.822,24.850
1738268100.000,6.907,11.797
1738269000.000,12.559,23.146
1738269900.000,23.011,2.374
1738270800.000,27.553,4.440
1738271700.000,29.259,9.575
1738272600.000,4.593,0.000
1738273500.000,5.210,17.483
1738274400.000,17.665,9.264
1738275300.000,24.892,4.308
1738276200.000,11.638,8.332
1738277100.000,18.436,7.552
1738278000.000,20.457,16.541
1738278900.000,4.400,0.000
1738279800.000,24.629,13.969
1738280700.000,15.289,10.069
1738281600.000,15.837,15.787
1738282500.000,25.094,0.000
1738283400.000,8.838,0.000
1738284300.000,28.255,9.180
1738285200.000,9.277,0.000
1738286100.000,18.821,12.126
1738287000.000,23.514,12.867
1738287900.000,12.862,16.083
1738288800.000,31.197,14.471
1738289700.000,18.913,28.052
1738290600.000,9.462,3.693
1738291500.000,17.061,16.201
1738292400.000,35.876,18.054
1738293300.000,16.149,16.999
1738294200.000,31.195,14.927
1738295100.000,17.008,25.306
1738296000.000,25.216,10.823
1738296900.000,29.690,16.191
1738297800.000,25.442,6.443
1738298700.000,18.212,20.901
1738299600.000,26.345,20.441
1738300500.000,17.045,10.049
1738301400.000,16.989,6.263
1738302300.000,26.081,11.304
1738303200.000,34.290,23.864
1738304100.000,13.716,17.420
1738305000.000,25.078,16.572
1738305900.000,25.806,17.526
1738306800.000,27.363,22.190
1738307700.000,33.574,14.290
1738308600.000,33.761,18.034
1738309500.000,9.511,6.359
1738310400.000,10.226,15.366
1738311300.000,28.761,5.793
1738312200.000,19.264,24.562
1738313100.000,0.000,11.316
1738314000.000,16.864,18.491
1738314900.000,22.275,11.566
1738315800.000,24.086,5.359
1738316700.000,30.066,15.768
1738317600.000,13.226,19.743
1738318500.000,8.029,0.000
1738319400.000,16.530,0.000
1738320300.000,0.000,0.216
1738321200.000,21.582,10.241
1738322100.000,18.820,20.675
1738323000.000,40.465,13.913
1738323900.000,16.749,4.065
1738324800.000,26.054,20.764
1738325700.000,8.993,8.771
1738326600.000,12.012,17.930
1738327500.000,17.198,5.602
1738328400.000,29.067,15.592
1738329300.000,13.044,37.218
1738330200.000,3.250,0.246
1738331100.000,26.275,15.369
1738332000.000,21.885,5.464
1738332900.000,10.689,25.424
1738333800.000,10.975,10.309
1738334700.000,21.799,10.328
1738335600.000,16.826,13.299
1738336500.000,29.484,13.476
1738337400.000,12.034,2.075
1738338300.000,29.797,11.775
1738339200.000,36.819,21.876
1738340100.000,14.190,9.816
1738341000.000,30.310,17.134
1738341900.000,28.248,15.158
1738342800.000,10.884,9.350
1738343700.000,23.549,6.401
1738344600.000,7.047,9.999
1738345500.000,24.424,0.000
1738346400.000,17.627,6.752
1738347300.000,15.263,17.434
1738348200.000,4.958,0.000
1738349100.000,19.599,5.209
1738350000.000,29.438,19.985
1738350900.000,37.052,15.667
1738351800.000,15.355,23.978
1738352700.000,24.581,7.560
1738353600.000,36.485,0.000
1738354500.000,12.497,17.390
1738355400.000,20.228,12.302
1738356300.000,22.672,13.284
1738357200.000,28.576,1.215
1738358100.000,0.000,11.697
1738359000.000,0.000,7.647
1738359900.000,15.564,9.867
1738360800.000,23.445,30.868
1738361700.000,15.915,36.789
1738362600.000,4.602,14.558
1738363500.000,28.385,17.760
1738364400.000,10.570,21.047
1738365300.000,31.977,8.976
1738366200.000,18.591,20.834
1738367100.000,10.651,10.984
1738368000.000,27.676,9.530
1738368900.000,23.952,0.750
1738369800.000,22.657,9.649
1738370700.000,15.771,0.000
1738371600.000,18.602,9.509
1738372500.000,21.746,11.513
1738373400.000,9.985,10.472
1738374300.000,10.867,0.000
1738375200.000,31.136,0.000
1738376100.000,3.263,30.178
1738377000.000,26.930,17.531
1738377900.000,29.174,0.000
1738378800.000,23.441,0.000
1738379700.000,3.185,9.592
1738380600.000,28.652,18.108
1738381500.000,11.445,13.787
1738382400.000,10.936,0.000
1738383300.000,10.510,12.127
1738384200.000,15.587,11.143
1738385100.000,22.442,16.541
1738386000.000,8.237,14.106
1738386900.000,3.684,15.416
1738387800.000,18.197,20.108
1738388700.000,29.789,12.657
1738389600.000,18.733,18.402
1738390500.000,11.905,24.755
1738391400.000,8.926,19.830
1738392300.000,15.374,5.422
1738393200.000,32.137,9.190
1738394100.000,8.780,16.280
1738395000.000,18.028,14.530
1738395900.000,26.923,0.000
1738396800.000,15.871,23.352
1738397700.000,22.751,20.657
1738398600.000,11.789,3.062
1738399500.000,6.806,8.217
1738400400.000,24.307,8.718
1738401300.000,10.174,6.015
1738402200.000,16.535,28.844
1738403100.000,14.404,20.094
1738404000.000,21.654,9.600
1738404900.000,23.092,7.158
1738405800.000,8.168,27.827
1738406700.000,9.891,0.000
1738407600.000,15.292,0.000
1738408500.000,28.877,29.818
1738409400.000,29.748,0.000
1738410300.000,3.853,18.537
1738411200.000,0.000,11.680
1738412100.000,43.994,4.975
1738413000.000,15.267,21.374
1738413900.000,13.572,0.040
1738414800.000,11.934,17.339
1738415700.000,18.687,21.276
1738416600.000,34.751,25.463
1738417500.000,11.189,8.481
1738418400.000,40.919,0.000
1738419300.000,19.830,23.287
1738420200.000,11.424,12.376
1738421100.000,20.520,10.414
1738422000.000,20.398,5.784
1738422900.000,15.801,13.264
1738423800.000,12.784,13.070
1738424700.000,30.098,7.764
1738425600.000,23.038,18.422
1738426500.000,26.079,4.639
1738427400.000,4.664,0.000
1738428300.000,27.771,0.601
1738429200.000,21.757,0.000
1738430100.000,26.460,5.505
1738431000.000,30.592,0.772
1738431900.000,19.825,1.372
1738432800.000,30.126,9.093
1738433700.000,25.391,0.000
1738434600.000,14.184,0.000
1738435500.000,20.220,15.556
1738436400.000,6.046,6.718
1738437300.000,33.965,15.349
1738438200.000,0.000,9.445
1738439100.000,17.847,20.255
1738440000.000,16.841,0.000
1738440900.000,0.000,0.000
1738441800.000,7.691,19.851
1738442700.000,32.427,0.000
1738443600.000,24.009,25.921
1738444500.000,9.005,12.760
1738445400.000,0.000,0.000
1738446300.000,20.441,9.863
1738447200.000,9.955,0.000
1738448100.000,25.563,11.579
1738449000.000,37.773,0.000
1738449900.000,27.184,13.121
1738450800.000,36.378,5.779
1738451700.000,33.019,22.860
1738452600.000,26.330,5.234
1738453500.000,22.123,14.806
1738454400.000,32.652,25.233
1738455300.000,15.920,0.000
1738456200.000,26.098,9.365
1738457100.000,22.948,1.947
1738458000.000,15.940,14.328
1738458900.000,12.761,20.578
1738459800.000,25.567,0.000
1738460700.000,15.253,13.987
1738461600.000,16.457,6.368
1738462500.000,25.813,15.442
1738463400.000,13.216,22.904
1738464300.000,32.576,5.825
1738465200.000,14.283,14.032
1738466100.000,17.349,16.464
1738467000.000,13.060,0.000
1738467900.000,24.005,6.460
1738468800.000,25.105,15.189
1738469700.000,18.009,16.371
1738470600.000,19.608,9.111
1738471500.000,25.594,2.370
1738472400.000,23.333,0.000
1738473300.000,14.832,0.000
1738474200.000,21.087,10.123
1738475100.000,13.070,18.223
1738476000.000,22.272,10.411
1738476900.000,19.617,13.228
1738477800.000,26.903,2.877
1738478700.000,28.758,0.000
1738479600.000,18.582,27.355
1738480500.000,2.547,0.000
1738481400.000,15.916,11.005
1738482300.000,2.764,3.627
1738483200.000,22.383,0.000
1738484100.000,22.364,10.147
1738485000.000,35.799,25.901
1738485900.000,11.752,0.000
1738486800.000,15.709,19.338
1738487700.000,26.207,16.080
1738488600.000,23.633,16.762
1738489500.000,6.339,12.069
1738490400.000,23.738,9.982
1738491300.000,5.649,22.383
1738492200.000,17.773,21.216
1738493100.000,16.985,18.184
1738494000.000,23.643,6.255
1738494900.000,10.845,20.697
1738495800.000,25.102,13.003
1738496700.000,18.119,5.496
1738497600.000,29.463,14.183
1738498500.000,22.012,10.671
1738499400.000,31.797,16.310
1738500300.000,19.349,11.575
1738501200.000,9.938,5.071
1738502100.000,19.354,4.079
1738503000.000,35.256,14.320
1738503900.000,14.448,21.423
1738504800.000,18.739,20.199
1738505700.000,16.122,17.575
1738506600.000,14.001,0.723
1738507500.000,22.829,5.157
1738508400.000,27.386,12.581
1738509300.000,14.303,13.840
1738510200.000,34.827,8.793
1738511100.000,30.564,10.239
1738512000.000,24.394,15.928
1738512900.000,8.874,12.031
1738513800.000,25.061,0.108
1738514700.000,25.137,15.513
1738515600.000,12.598,5.194
1738516500.000,23.745,0.000
1738517400.000,0.000,14.575
1738518300.000,22.625,0.000
1738519200.000,12.382,16.288
1738520100.000,10.795,12.840
1738521000.000,3.643,12.264
1738521900.000,14.919,12.662
1738522800.000,15.735,26.525
1738523700.000,29.577,9.177
1738524600.000,8.887,11.790
1738525500.000,21.305,11.429
1738526400.000,20.711,10.039
1738527300.000,27.247,20.939
1738528200.000,15.405,0.000
1738529100.000,39.161,11.641
1738530000.000,16.395,16.150
1738530900.000,4.627,19.230
1738531800.000,12.380,8.484
1738532700.000,26.201,28.789
1738533600.000,31.928,0.000
1738534500.000,19.689,4.171
1738535400.000,41.539,13.516
1738536300.000,34.570,7.138
