Time,Temperature [°C],pF-Value [-]
2025-05-06T13:36,21.39,0.0
2025-05-06T13:38,21.46,0.0
2025-05-06T13:40,21.48,0.0
2025-05-06T13:42,21.55,0.0
2025-05-06T13:44,21.53,0.0
2025-05-06T13:46,21.56,0.0
2025-05-06T13:48,21.54,0.0
2025-05-06T13:50,21.57,0.0
2025-05-06T13:52,21.62,0.0
2025-05-06T13:54,21.63,0.0
2025-05-06T13:56,21.69,0.0
2025-05-06T13:58,21.72,0.0
2025-05-06T14:00,21.72,0.0
2025-05-06T14:02,21.63,0.0
2025-05-06T14:04,21.72,0.0
2025-05-06T14:06,21.75,0.0
2025-05-06T14:08,21.79,0.0
2025-05-06T14:10,21.77,0.0
2025-05-06T14:12,21.77,0.0
2025-05-06T14:14,21.81,0.0
2025-05-06T14:16,21.85,0.0
2025-05-06T14:18,21.81,0.0
2025-05-06T14:20,21.83,0.0
2025-05-06T14:22,21.81,0.0
2025-05-06T14:24,21.75,0.0
2025-05-06T14:26,21.96,0.0
2025-05-06T14:28,21.84,0.0
2025-05-06T14:30,21.85,0.0
2025-05-06T14:32,21.89,0.0
2025-05-06T14:34,21.89,0.0
2025-05-06T14:36,21.86,0.0
2025-05-06T14:38,21.91,0.0
2025-05-06T14:40,21.86,0.0
2025-05-06T14:42,21.89,0.0
2025-05-06T14:44,21.84,0.0
2025-05-06T14:46,21.9,0.0
2025-05-06T14:48,21.92,0.0
2025-05-06T14:50,21.89,0.0
2025-05-06T14:52,21.95,0.0
2025-05-06T14:54,21.87,0.0
2025-05-06T14:56,21.91,0.0
2025-05-06T14:58,21.95,0.0
2025-05-06T15:00,21.9,0.0
2025-05-06T15:02,21.96,0.0
2025-05-06T15:04,21.99,0.0
2025-05-06T15:06,21.95,0.0
2025-05-06T15:08,21.98,0.0
2025-05-06T15:10,22.0,0.0
2025-05-06T15:12,21.98,0.0
2025-05-06T15:14,21.93,0.0
2025-05-06T15:16,21.95,0.0
2025-05-06T15:18,21.99,0.0
2025-05-06T15:20,21.95,0.0
2025-05-06T15:22,21.91,0.0
2025-05-06T15:24,22.02,0.0
2025-05-06T15:26,21.98,0.0
2025-05-06T15:28,21.98,0.0
2025-05-06T15:30,22.01,0.0
2025-05-06T15:32,21.97,0.0
2025-05-06T15:34,22.01,0.0
2025-05-06T15:36,22.03,0.0
2025-05-06T15:38,22.02,0.0
2025-05-06T15:40,21.98,0.0
2025-05-06T15:42,22.05,0.0
2025-05-06T15:44,21.99,0.0
